KIC,Evol_State,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
5105190,RGB,1.2485,0.0479,5.9732,0.1033,2.9838,0.0042,4824.887,52.0536,0.0373,0.058,0.0193,0.022,-0.045,0.04693159735326472,0.2166,0.05096560333192119,-0.2616,0.07247400359635912
5105399,RGB,1.4579,0.0561,9.3823,0.1625,2.6589,0.0039,4712.2603,43.9173,-0.044,0.058,0.0249,0.022,-0.0868,0.034214648393025245,0.3004,0.03849529613368515,-0.3872,0.05386698876163386
5106266,RC,1.1432,0.0471,10.7794,0.2004,2.4337,0.0045,4684.3867,54.4938,0.0874,0.058,0.014,0.022,-0.0125,0.05056501134190457,0.1839,0.05394763331410807,-0.19640000000000002,0.07735067619948464
5106547,RC,0.9979,0.0412,10.5779,0.1968,2.3911,0.0045,4622.6797,52.4609,0.1444,0.058,0.0167,0.022,-0.0059,0.04632602835515808,0.1884,0.049610135158199876,-0.1943,0.07100679854609053
5107383,RC,1.184,0.0486,10.7853,0.2001,2.4485,0.0045,4824.2515,54.4236,-0.153,0.058,0.0669,0.022,-0.0472,0.057831839319184265,0.168,0.060453880547970344,-0.2152,0.08752412109294848
5107556,RC,1.3257,0.0546,11.0917,0.2061,2.4732,0.0044,4701.935,51.3365,0.1171,0.058,0.002,0.022,-0.0081,0.044812105859891475,0.2884,0.04825466698447857,-0.2965,0.0688886203117651
5107886,RGB,1.515,0.058,6.7557,0.1166,2.9609,0.0045,4969.9424,58.7291,-0.1917,0.058,0.051,0.022,-0.08,0.06903486578415714,0.2273,0.07075543866825229,-0.3073,0.1034216487081329
5108620,RGB,1.1592,0.0484,9.3879,0.1753,2.5585,0.0045,4767.4844,51.0307,-0.2911,0.058,0.0833,0.022,-0.0011,0.054803994328651066,0.14,0.05747185056578347,-0.1411,0.08307970055257556
5109878,RGB,1.3332,0.051,5.7108,0.0985,3.0513,0.0047,5014.598,63.4994,-0.2683,0.058,0.0776,0.022,-0.072,0.062070822305930765,0.2292,0.06452028506913426,-0.30119999999999997,0.0936650643168853
5110707,RGB,1.4308,0.0599,12.3443,0.2309,2.41,0.0043,4622.6133,45.5034,0.0138,0.058,0.015,0.022,-0.1251,0.03693970888450514,0.1987,0.04039295157689498,-0.3238,0.057256925578845465
5110961,RGB,1.456,0.056,9.8075,0.1699,2.6198,0.0039,4709.6143,44.9299,0.0228,0.058,0.0106,0.022,-0.128,0.03451743289207857,0.2834,0.038766389768429416,-0.4114,0.05428980725098077
5111300,RC,1.1664,0.0454,13.0726,0.2314,2.2749,0.0037,4635.935,42.637,-0.0126,0.058,0.0219,0.022,-0.0026,0.032700725897758645,0.1843,0.03659764069047532,-0.18689999999999998,0.051333097078115245
5111718,RGB,1.6474,0.0673,6.4248,0.1179,3.0409,0.0047,4901.3716,59.3992,0.1014,0.058,0.0023,0.022,-0.0691,0.05904297731539755,0.2487,0.06262262962592444,-0.31779999999999997,0.09003895793816653
5111940,RGB,1.5934,0.0666,10.1274,0.1892,2.6311,0.0044,4726.379,49.0657,0.0428,0.058,0.0068,0.022,-0.0697,0.04148147637030495,0.2621,0.04527263700229169,-0.3318,0.06423031144487144
5111949,RC,1.6558,0.0604,10.9099,0.1815,2.5841,0.0036,4765.124,45.026,0.0914,0.058,-0.0116,0.022,-0.0871,0.033306294895865285,0.2302,0.0374109215947081,-0.31729999999999997,0.05238858390298175
5112072,RGB,1.6536,0.0626,6.6502,0.1136,3.0126,0.0043,4885.911,55.6784,0.0392,0.058,-0.025,0.022,-0.0929,0.05298728733433114,0.2446,0.056658569661550674,-0.3375,0.0811522767290669
5112118,RC,1.1235,0.0464,11.1387,0.2072,2.3977,0.004,4627.9946,42.1285,0.0671,0.058,0.0155,0.022,-0.0001,0.03027844990533208,0.1336,0.03415779797777697,-0.13369999999999999,0.04774056178584922
5112288,RC,1.7587,0.0682,11.2452,0.1986,2.584,0.0041,4793.893,50.7252,0.0635,0.058,0.0026,0.022,-0.0644,0.04360096786367819,0.3058,0.04771247971499005,-0.37020000000000003,0.06760919974808534
5112373,RC,1.6225,0.0592,11.1903,0.1862,2.5533,0.0036,4780.1836,44.4758,0.0615,0.058,-0.0058,0.022,-0.0871,0.033003510396811965,0.2745,0.0374109215947081,-0.36160000000000003,0.05217608283938882
5112387,RC,1.6426,0.0599,11.1077,0.1847,2.5651,0.0036,4800.166,44.6444,0.0671,0.058,-0.0022,0.022,-0.064,0.033306294895865285,0.239,0.037682015229452366,-0.303,0.0525987523399031
5112401,RC,1.5705,0.0573,12.0781,0.2009,2.4728,0.0038,4783.8857,49.0777,0.0114,0.058,-0.0041,0.022,-0.056,0.04360096786367819,0.2796,0.04771247971499005,-0.3356,0.06760919974808534
5112467,RC,1.6855,0.0614,11.1786,0.1859,2.5707,0.0036,4792.5825,44.7146,0.0563,0.058,0.002,0.022,-0.1047,0.033306294895865285,0.3241,0.037682015229452366,-0.4288,0.0525987523399031
5112491,RC,1.6302,0.0619,11.073,0.1909,2.5645,0.0038,4830.088,45.3042,0.0135,0.058,0.0074,0.022,-0.0855,0.03512300189018521,0.3059,0.039579670672662194,-0.3914,0.05534542252109275
5112730,RC,1.6549,0.0604,11.3473,0.1888,2.5498,0.0036,4782.259,44.5818,0.0702,0.058,-0.0008,0.022,-0.0892,0.032700725897758645,0.2866,0.037139827959963845,-0.3758,0.05175345287682559
5112744,RGB,1.7158,0.0661,11.5398,0.2,2.5495,0.0038,4676.1255,42.9259,0.0172,0.058,0.006,0.022,-0.0805,0.032095156899652005,0.3093,0.036055453420986795,-0.38980000000000004,0.05048736074098855
5112938,RC,1.536,0.056,10.7506,0.1788,2.5643,0.0036,4809.4307,45.0466,0.0522,0.058,-0.0028,0.022,-0.0698,0.03360907939491861,0.2671,0.03822420249894089,-0.3369,0.053232037189445434
5112948,RGB,1.713,0.0659,11.7298,0.2032,2.5344,0.0041,4713.4126,48.8542,0.045,0.058,0.0029,0.022,-0.0434,0.04148147637030495,0.3031,0.04527263700229169,-0.3465,0.06423031144487144
5112950,RC,1.7034,0.0621,11.8028,0.1964,2.5281,0.0036,4771.63,44.2776,0.0677,0.058,-0.0003,0.022,-0.0684,0.032700725897758645,0.2811,0.03686873432521958,-0.34950000000000003,0.05154299058449855
5112974,RC,1.6224,0.0592,11.6981,0.1946,2.5147,0.0036,4791.358,44.8647,0.0322,0.058,0.0009,0.022,-0.0667,0.033911863893971925,0.2895,0.03822420249894089,-0.35619999999999996,0.053444206202413316
5113041,RGB,1.5449,0.0596,11.8901,0.2061,2.4771,0.0038,4656.6035,42.9949,-0.0274,0.058,0.0109,0.022,-0.1047,0.033003510396811965,0.3182,0.03686873432521958,-0.4229,0.05175601968221241
5113441,RGB,1.6884,0.069,6.0489,0.111,3.1039,0.0045,4884.7583,55.4378,0.0781,0.058,0.0188,0.022,-0.1037,0.05086779584095789,0.2758,0.054760914218340846,-0.3795,0.07818672787893584
5114395,RC,1.1784,0.0485,11.2728,0.2094,2.408,0.0041,4716.942,45.5986,-0.0099,0.058,0.0451,0.022,-0.0063,0.03724249338355846,0.1844,0.041206232481127765,-0.1907,0.05809666104945965
5114547,RC,1.2146,0.05,11.365,0.2111,2.4141,0.0042,4733.588,47.3133,-0.057,0.058,0.0295,0.022,-0.0079,0.04057312287314499,0.2078,0.044459356098058914,-0.2157,0.06296031659183841
5121605,RC,1.192,0.0436,10.9575,0.1825,2.4376,0.0036,4686.583,43.2468,0.0377,0.058,0.0236,0.022,-0.0015,0.03815084688071842,0.2376,0.04201951338536055,-0.2391,0.05936615216328377
5123226,RC,1.304,0.0507,11.1306,0.1969,2.463,0.0037,4685.814,43.0799,0.0749,0.058,0.0181,0.022,-0.0284,0.030884018903438722,0.3235,0.03497107888200975,-0.3519,0.04879634996659689
5127940,RGB,1.5123,0.0607,32.3789,0.5822,1.5716,0.0038,4025.125,36.6105,0.1775,0.058,0.0312,0.022,0.0539,0.028764527410065473,0.2505,0.03063358072610156,-0.1966,0.04395999043730013
5128272,RGB,1.1918,0.0483,17.4307,0.3159,2.0199,0.0041,4177.1694,42.52,0.2613,0.058,0.0276,0.022,0.0726,0.033306294895865285,0.2188,0.035513266151498274,-0.1462,0.05093352620199755
5129011,RC,1.5021,0.0547,10.9533,0.1821,2.5384,0.0036,4827.414,45.8276,-0.064,0.058,0.0254,0.022,-0.1079,0.03724249338355846,0.2553,0.04174841975061629,-0.3632,0.05851511137584754
5129236,RGB,1.1707,0.0451,4.7541,0.0824,3.1541,0.0041,4697.61,48.9075,0.347,0.058,-0.0335,0.022,-0.0077,0.0363341398863985,0.3254,0.04039295157689498,-0.3331,0.05682742780279692
5130161,RC,1.2374,0.0479,11.0887,0.1957,2.4435,0.0039,4869.622,47.5007,-0.2407,0.058,0.0689,0.022,-0.0415,0.04783995085042469,0.2478,0.051507790601409705,-0.2893,0.07353767396048408
5165979,RGB,1.3702,0.0527,8.1895,0.1419,2.7501,0.0039,4707.4385,44.7875,0.0035,0.058,0.0199,0.022,-0.0257,0.04935387334569128,0.2458,0.05286325877513102,-0.27149999999999996,0.07565584965047309
5167473,RC,1.0274,0.0398,10.5154,0.1855,2.4089,0.0039,4868.0747,47.7607,-0.3773,0.058,0.0753,0.022,-0.0078,0.061768037806877445,0.1699,0.06397809779964574,-0.1777,0.093037347947981
5167972,RGB,1.5508,0.0596,12.2302,0.2117,2.4537,0.0043,4767.8364,54.0637,-0.1331,0.058,0.0241,0.022,-0.0539,0.06812651228699718,0.2461,0.06939997049453098,-0.30000000000000004,0.10174402938734194
5168382,RGB,1.0634,0.0407,4.0333,0.0696,3.2552,0.004,5001.554,49.3375,-0.2832,0.058,0.103,0.022,0.0091,0.049959442343797934,0.0972,0.053676539679363804,-0.0881,0.0767094226283672
