KIC,Evol_State,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
893214,RGB,1.4404,0.0602,11.0014,0.2055,2.5146,0.0042,4718.9233,44.7811,-0.2617,0.058,0.0815,0.022,-0.0626,0.0408759073721983,0.2483,0.044459356098058914,-0.3109,0.06317601724069953
1026180,RC,1.5334,0.0633,12.2361,0.2278,2.4512,0.0039,4576.1016,40.5161,0.2741,0.058,0.0215,0.022,0.0568,0.025433897920478944,0.3647,0.029007018917635994,-0.3079,0.04034642091952381
1026452,RC,1.4618,0.0599,11.9485,0.2215,2.451,0.0044,4910.6035,53.0693,-0.2652,0.058,0.0658,0.022,0.0005,0.05722627032107763,0.1605,0.06018278691322608,-0.16,0.08688057096518642
1027337,RGB,1.2676,0.0489,7.6702,0.133,2.7732,0.0038,4621.996,41.3674,0.2081,0.058,0.0354,0.022,0.062,0.02725060491479887,0.2898,0.031175767995590086,-0.2278,0.04330373087012109
1160684,RC,1.1208,0.0426,11.8817,0.2048,2.3406,0.0043,4830.3506,56.4954,-0.3194,0.058,0.0803,0.022,0.0102,0.0699432192813171,0.1651,0.07102653230299655,-0.15489999999999998,0.10429025706142324
1161447,RC,1.3754,0.0534,11.3443,0.2005,2.4697,0.0042,4754.5938,53.8129,-0.0149,0.058,0.0044,0.022,-0.0452,0.05268450283527781,0.2366,0.055845288757317896,-0.2818,0.08031718274225268
1161618,RC,1.1764,0.043,10.8804,0.1811,2.438,0.0036,4739.398,43.9292,-0.0084,0.058,0.0307,0.022,0.0025,0.033911863893971925,0.21,0.03822420249894089,-0.2075,0.053444206202413316
1163114,RGB,1.6769,0.0654,20.0342,0.3509,2.0481,0.0037,4265.4097,37.0993,0.2026,0.058,0.0363,0.022,0.0703,0.024222759924265664,0.2256,0.026838269839681902,-0.1553,0.037815300374193256
1163453,RC,1.4589,0.06,11.1119,0.2063,2.5132,0.004,4761.3223,44.2829,0.0283,0.058,-0.0032,0.022,-0.0387,0.033306294895865285,0.1794,0.037682015229452366,-0.21810000000000002,0.0525987523399031
1293521,RGB,1.2474,0.0502,30.5334,0.5503,1.5384,0.0037,3918.499,32.9835,0.3592,0.058,0.0254,0.022,0.0676,0.02058934593562581,0.1663,0.02195858441428519,-0.09870000000000001,0.03148992153157597
1294122,RGB,1.3468,0.0518,7.7783,0.1346,2.7873,0.0039,4780.2866,45.1008,-0.0811,0.058,0.0211,0.022,-0.0923,0.03663692438545182,0.278,0.04093513884638351,-0.3703,0.05745969536385086
1294385,RGB,1.4216,0.0546,6.7136,0.1161,2.9387,0.0039,4807.2637,44.749,0.0497,0.058,-0.0052,0.022,-0.1403,0.033911863893971925,0.2843,0.03822420249894089,-0.4246,0.053444206202413316
1295475,RC,1.4927,0.0615,11.4545,0.213,2.4968,0.004,4658.762,42.0677,0.1768,0.058,-0.0078,0.022,-0.0265,0.028461742911012156,0.2951,0.03226014253456713,-0.3216,0.04499395591954648
1296507,RGB,1.5395,0.059,6.4046,0.1107,3.0142,0.0045,4897.0596,58.4962,-0.0053,0.058,0.0066,0.022,-0.0161,0.06146525330782412,0.2148,0.06424919143439001,-0.2309,0.09302088068083672
1429505,RGB,1.1279,0.0434,8.3276,0.1443,2.651,0.004,4683.642,46.1562,-0.117,0.058,0.056,0.022,0.0248,0.045114890358944795,0.1583,0.04852576061922283,-0.1335,0.06931222050832281
1430985,RGB,1.2387,0.0515,5.8041,0.1081,3.0053,0.0045,5009.838,54.5953,-0.4328,0.058,0.1095,0.022,0.0016,0.07115435727753039,0.18,0.07211090684197359,-0.1784,0.10598785629418189
1431059,RGB,1.1429,0.0439,4.7597,0.0824,3.1426,0.0044,4786.8867,56.249,0.0857,0.058,0.0512,0.022,-0.0521,0.055106778827704386,0.2827,0.058556225104760516,-0.3348,0.08411853423521816
1431316,RC,1.3391,0.055,11.0332,0.2047,2.4822,0.0043,4850.867,51.3394,-0.0751,0.058,0.023,0.022,-0.1084,0.04814273534947801,0.2376,0.052049977870898226,-0.346,0.07416795958369865
1433593,RGB,1.6795,0.0646,9.1136,0.1577,2.7456,0.0039,4769.933,44.2558,0.0936,0.058,-0.0126,0.022,-0.1067,0.032095156899652005,0.2757,0.03632654705573106,-0.3824,0.05069755022955855
1433803,RGB,1.2145,0.0467,5.2466,0.0909,3.0845,0.0038,4720.9194,42.7632,0.2173,0.058,0.0122,0.022,0.0094,0.028461742911012156,0.341,0.032531236169311396,-0.3316,0.04520486697796132
1572175,RGB,1.5948,0.0614,9.9047,0.1715,2.6508,0.0039,4726.4106,44.0491,-0.0626,0.058,0.0188,0.022,-0.069,0.03512300189018521,0.2442,0.03930857703791794,-0.31320000000000003,0.055135548713531185
1572317,RGB,1.5292,0.0634,5.0212,0.0934,3.2226,0.0044,5143.865,51.9762,-0.1701,0.058,0.0435,0.022,-0.0226,0.050262226842851254,0.1538,0.05448982058359659,-0.1764,0.07754647951307983
1574361,RC,1.2218,0.0504,11.3206,0.2105,2.42,0.0041,4638.4844,45.7082,0.1487,0.058,0.0216,0.022,0.0017,0.031186803402492042,0.2033,0.03524217251675401,-0.2016,0.04921904244294599
1576043,RGB,1.427,0.0571,30.4365,0.5466,1.6007,0.0037,4090.4976,35.9527,0.0062,0.058,0.0383,0.022,0.0335,0.026039466918585587,0.152,0.02819373801340321,-0.1185,0.04014724086165219
1578131,RGB,1.1109,0.0465,9.4761,0.1773,2.5317,0.0041,4608.9697,41.903,0.0519,0.058,0.0355,0.022,-0.0366,0.03027844990533208,0.2805,0.03415779797777697,-0.31710000000000005,0.04774056178584922
1717618,RGB,1.702,0.0652,6.8663,0.1187,2.9973,0.0045,4882.8647,58.1663,0.0247,0.058,0.006,0.022,-0.1053,0.05964854631350419,0.3138,0.06262262962592444,-0.41910000000000003,0.09047686247733061
1717783,RC,0.9852,0.0406,10.2513,0.1904,2.4127,0.0043,4732.4355,51.0059,-0.0278,0.058,0.0289,0.022,-0.0009,0.04814273534947801,0.0998,0.05177888423615397,-0.1007,0.07396127586484894
1719297,RGB,1.4725,0.0577,26.2766,0.4616,1.7457,0.0038,4232.5425,37.7942,-0.1066,0.058,0.0413,0.022,0.0086,0.029370096408172116,0.1797,0.03198904889982287,-0.1711,0.045426940366598875
1719422,RGB,1.2881,0.0493,5.6235,0.0971,3.0497,0.0041,4945.6543,51.2474,-0.2825,0.058,0.054,0.022,-0.0925,0.056015132324864346,0.2213,0.05909841237424903,-0.31379999999999997,0.08518486722525309
1720241,RGB,1.2661,0.0519,4.3989,0.0806,3.2556,0.0048,5022.3013,61.4079,-0.1699,0.058,0.05,0.022,-0.0745,0.07569612476333021,0.1432,0.0769905922673703,-0.2177,0.11295913642037762
1720425,RC,1.0548,0.0409,11.1894,0.1975,2.3663,0.0038,4828.218,46.2413,-0.2368,0.058,0.0569,0.022,-0.0892,0.04269261436651823,0.1455,0.046628105176013,-0.2347,0.06613141778013429
1723047,RGB,1.4598,0.0551,5.8303,0.0995,3.0727,0.0042,4985.3037,54.8392,-0.151,0.058,0.0257,0.022,-0.0525,0.058134623818237585,0.1858,0.06126716145220312,-0.23829999999999998,0.08835713276180124
1723656,RC,1.0986,0.0454,11.1115,0.2068,2.3901,0.004,4582.616,41.432,0.231,0.058,0.024,0.022,0.0612,0.027856173912905513,0.285,0.03144686163033435,-0.22379999999999997,0.043938136939822806
1723752,RGB,1.2887,0.0493,4.6545,0.0803,3.2142,0.0041,4981.0283,51.0343,-0.1606,0.058,0.0458,0.022,-0.0921,0.049656657844744614,0.2441,0.05340544604461954,-0.3362,0.07628580356872365
1723843,RGB,1.4641,0.056,6.6311,0.1145,2.9622,0.004,4947.5244,48.3933,-0.2529,0.058,0.0683,0.022,0.014,0.04693159735326472,0.3022,0.05096560333192119,-0.2882,0.07247400359635912
1724879,RC,1.4468,0.0594,11.0027,0.2042,2.5182,0.0041,4830.796,45.7776,-0.088,0.058,0.0172,0.022,-0.0818,0.03815084688071842,0.2227,0.042290607020104815,-0.3045,0.059574761226070284
1725626,RC,1.1004,0.0455,10.7673,0.2005,2.4181,0.0039,4549.166,40.2315,0.296,0.058,0.0143,0.022,0.0394,0.024828328922372307,0.2556,0.028464831648147473,-0.2162,0.03950148456051741
1725952,RC,1.2812,0.053,11.6268,0.2165,2.4175,0.0041,4543.8354,43.8243,0.3449,0.058,0.0196,0.022,0.0621,0.03027844990533208,0.2707,0.0338867043430327,-0.2086,0.047530645442699304
1726245,RC,1.6849,0.0653,10.8923,0.1923,2.5931,0.0038,4814.6533,44.7643,0.0813,0.058,-0.0087,0.022,-0.0824,0.033003510396811965,0.2872,0.037682015229452366,-0.36960000000000004,0.05238695562158355
1864183,RGB,1.2393,0.0479,8.8824,0.1541,2.6359,0.0038,4596.487,41.3354,0.1222,0.058,0.0344,0.022,-0.0122,0.028461742911012156,0.2833,0.03226014253456713,-0.2955,0.04499395591954648
1864855,RGB,1.3743,0.052,6.0575,0.1035,3.0133,0.0039,4899.49,46.9135,-0.0643,0.058,0.0276,0.022,-0.0828,0.039059200377878384,0.2716,0.043374981559081864,-0.3544,0.06105290235604557
1865262,RGB,1.1431,0.0439,8.5368,0.1477,2.6353,0.0047,4771.19,60.5597,-0.3303,0.058,0.1111,0.022,0.0489,0.08114624574628998,0.0874,0.0805148095190457,-0.038500000000000006,0.11959563962348678
1865595,RGB,1.2499,0.0486,18.6553,0.3261,1.9798,0.004,4364.1465,43.9349,-0.1648,0.058,0.0536,0.022,0.0019,0.04027033837409166,0.1222,0.04283279428959334,-0.1203,0.061502859205687155
1865747,RGB,1.4104,0.0542,8.6866,0.1504,2.7114,0.0038,4750.9966,43.911,-0.0194,0.058,0.0141,0.022,-0.0703,0.03451743289207857,0.248,0.038766389768429416,-0.3183,0.05428980725098077
1866137,RC,1.4433,0.0594,11.2836,0.2095,2.4952,0.0043,4756.8403,50.4549,0.1108,0.058,0.007,0.022,-0.056,0.043298183364624876,0.358,0.04717029244550152,-0.414,0.06697816922954312
1867706,RGB,1.6397,0.063,7.2467,0.1253,2.9343,0.0039,4816.668,44.7426,0.1233,0.058,-0.0076,0.022,-0.084,0.032095156899652005,0.313,0.03659764069047532,-0.397,0.05090831550428779
1868101,RC,1.1998,0.0467,11.4322,0.2024,2.4036,0.0037,4604.4834,40.8904,0.2407,0.058,0.0062,0.022,0.0546,0.026342251417638907,0.2869,0.03009139345661304,-0.23229999999999998,0.04182506561489895
1868303,RGB,1.1969,0.05,9.9502,0.1859,2.5215,0.0042,4719.3457,45.0629,-0.323,0.058,0.0951,0.022,-0.0102,0.04269261436651823,0.1822,0.04635701154126874,-0.19240000000000002,0.06592395350754092
1870196,RGB,1.2325,0.0481,4.6364,0.0817,3.1982,0.0041,4860.831,49.3023,-0.008,0.058,0.045,0.022,-0.0076,0.043298183364624876,0.2007,0.04744138608024579,-0.20829999999999999,0.06718589082895132
1871314,RGB,1.4041,0.0543,9.0962,0.158,2.6695,0.0042,4523.7666,48.6016,0.2711,0.058,0.0261,0.022,0.0936,0.03845363137977174,0.2846,0.04174841975061629,-0.191,0.05937390363057129
1871465,RC,1.2053,0.0497,11.0966,0.2064,2.4315,0.0039,4613.748,41.2372,0.1824,0.058,0.0162,0.022,0.0508,0.027553389413852193,0.2412,0.03144686163033435,-0.1904,0.04372621365476689
1871927,RGB,1.2039,0.0465,7.9446,0.1378,2.7203,0.0041,4622.954,47.2679,0.1417,0.058,0.0289,0.022,0.0004,0.03693970888450514,0.3313,0.040664045211639244,-0.33089999999999997,0.05746497782150596
1872469,RGB,1.2536,0.0484,8.7181,0.1512,2.6571,0.0041,4631.4434,46.892,0.0894,0.058,0.0356,0.022,-0.0136,0.03815084688071842,0.2765,0.04174841975061629,-0.2901,0.05915804977957467
1872842,RC,1.4958,0.0616,11.1544,0.2073,2.5208,0.004,4710.2153,43.1604,0.117,0.058,0.0086,0.022,-0.0952,0.03027844990533208,0.2694,0.034428891612521224,-0.3646,0.04795109181838281
1873198,RGB,1.1838,0.0494,10.4752,0.1956,2.4713,0.0044,4774.1855,50.0983,-0.4442,0.058,0.0693,0.022,-0.0229,0.05934576181445087,0.166,0.061538255086947394,-0.1889,0.08944069379843939
1995358,RC,1.1174,0.0433,12.4744,0.2201,2.2969,0.0039,4856.0503,48.4805,-0.37,0.058,0.0702,0.022,-0.043,0.05419842533054442,0.2054,0.0572007569310392,-0.2484,0.08243651651718481
1995859,RC,1.7015,0.0658,11.1473,0.1965,2.5773,0.0038,4935.252,47.8343,-0.1674,0.058,0.0237,0.022,-0.0927,0.043298183364624876,0.2427,0.04771247971499005,-0.33540000000000003,0.06739406266976201
1996078,RGB,1.1953,0.0459,6.9953,0.1211,2.8277,0.004,4774.9033,47.5374,-0.1284,0.058,0.0438,0.022,-0.0094,0.043298183364624876,0.226,0.04717029244550152,-0.2354,0.06697816922954312
2010137,RGB,1.306,0.0524,26.7192,0.4804,1.6774,0.0037,4031.8289,34.344,0.3076,0.058,0.0278,0.022,0.0644,0.021497699432785778,0.2587,0.0233140525880065,-0.19429999999999997,0.03317370875091099
2010855,RC,1.2819,0.0527,11.1145,0.2062,2.4569,0.0048,4834.7637,61.7613,-0.1815,0.058,0.0523,0.022,-0.024,0.07751283175765013,0.1756,0.07807496680634735,-0.1996,0.11510258487812255
2011314,RC,1.1572,0.0478,11.339,0.211,2.395,0.0047,4586.939,55.5907,0.2061,0.058,0.0042,0.022,-0.0162,0.05086779584095789,0.1841,0.053676539679363804,-0.2003,0.07736371535219612
2011675,RC,1.0262,0.0423,10.4223,0.1938,2.4161,0.0042,4639.475,46.8686,0.1627,0.058,0.0228,0.022,0.0075,0.03663692438545182,0.2314,0.04039295157689498,-0.2239,0.05704177732380808
2011891,RGB,1.2333,0.0475,6.1107,0.1059,2.9587,0.0038,4661.336,41.8065,0.2401,0.058,0.0141,0.022,0.0511,0.02725060491479887,0.2678,0.031175767995590086,-0.21669999999999998,0.04330373087012109
2012932,RC,1.0809,0.0446,10.7332,0.1996,2.4131,0.004,4655.2275,42.6341,0.0484,0.058,0.044,0.022,0.038,0.031186803402492042,0.2377,0.03497107888200975,-0.1997,0.049008985349036985
2014377,RC,1.7805,0.0733,12.5874,0.2338,2.4914,0.004,4733.6914,43.6896,0.0719,0.058,-0.0244,0.022,-0.1277,0.031792372400598685,0.3033,0.036055453420986795,-0.43100000000000005,0.05027488982499288
2014684,RGB,1.1794,0.0513,25.446,0.5082,1.6751,0.0038,4321.727,39.7204,-0.3611,0.058,0.095,0.022,-0.0378,0.03603135538734518,0.1583,0.038766389768429416,-0.1961,0.055365055003376434
2015820,RC,1.7525,0.0679,11.4822,0.2027,2.5644,0.0038,4827.8975,45.5549,-0.0333,0.058,0.0012,0.022,-0.1162,0.0363341398863985,0.2683,0.04093513884638351,-0.38449999999999995,0.057246639470717633
2016706,RC,1.4372,0.0557,11.226,0.1982,2.4978,0.0038,4823.6035,45.3231,-0.0885,0.058,-0.0065,0.022,-0.0799,0.037848062381665104,0.2011,0.042290607020104815,-0.281,0.059360920666713744
2016978,RGB,1.174,0.0452,7.2921,0.1263,2.7838,0.0041,4695.9287,48.8575,0.0012,0.058,0.0447,0.022,-0.0361,0.04269261436651823,0.2771,0.04635701154126874,-0.31320000000000003,0.06592395350754092
2017157,RC,1.2159,0.0499,10.4358,0.1935,2.4886,0.0041,4877.961,46.1246,-0.0968,0.058,0.0195,0.022,-0.0941,0.03966476937598502,0.2173,0.04391716882857038,-0.3114,0.061899064829137325
2017541,RGB,1.3897,0.0546,22.5678,0.3967,1.8564,0.0037,4200.635,36.9173,0.0611,0.058,0.0392,0.022,0.0366,0.026039466918585587,0.1857,0.028464831648147473,-0.1491,0.040354627009637996
2018007,RC,1.2256,0.0506,11.3299,0.2108,2.4207,0.0041,4596.86,44.4245,0.1592,0.058,0.0425,0.022,0.0257,0.032397941398705325,0.2391,0.036055453420986795,-0.2134,0.05070074949319768
2018283,RGB,1.2996,0.05,5.6782,0.0983,3.0452,0.0042,4762.337,51.1839,0.1735,0.058,0.0169,0.022,-0.038,0.04208704536841159,0.2531,0.04608591790652448,-0.29109999999999997,0.06528475509436307
2018392,RGB,1.3679,0.0527,11.7929,0.2044,2.4305,0.0039,4669.729,43.5609,-0.1777,0.058,0.0589,0.022,-0.1061,0.03724249338355846,0.312,0.04093513884638351,-0.4181,0.057888205908079235
2018537,RGB,1.3537,0.052,5.0101,0.0867,3.1716,0.0039,4812.8086,44.6061,0.2395,0.058,0.0092,0.022,-0.056,0.031186803402492042,0.3408,0.03578435978624253,-0.3968,0.04964093147464203
2018642,RC,1.3568,0.056,11.5089,0.214,2.4512,0.004,4652.228,42.4163,0.1744,0.058,-0.001,0.022,-0.0346,0.028764527410065473,0.2085,0.032802329804055654,-0.24309999999999998,0.04562736817628078
2018667,RC,1.0514,0.0401,10.995,0.1899,2.3802,0.0037,4664.9453,43.1122,-0.0729,0.058,0.0887,0.022,0.1068,0.034214648393025245,0.0633,0.03795310886419663,0.04350000000000001,0.05344805290027291
2019258,RGB,1.542,0.0649,17.6882,0.3318,2.1222,0.0041,4402.593,39.5238,-0.0117,0.058,0.0166,0.022,-0.0616,0.029067311909118793,0.235,0.03226014253456713,-0.2966,0.045420138210589475
2140446,RGB,1.3041,0.0504,8.8659,0.1539,2.6597,0.0038,4551.178,40.2924,0.2335,0.058,0.0331,0.022,0.0643,0.026039466918585587,0.2685,0.029549206187124515,-0.20420000000000002,0.04119157250454199
2140982,RC,1.2355,0.0507,11.0011,0.2041,2.4498,0.0041,4839.2896,46.5246,-0.2297,0.058,0.0348,0.022,-0.0647,0.042995398865571556,0.1764,0.046899198810757256,-0.24109999999999998,0.06655478262112063
2141255,RGB,1.1274,0.0432,5.064,0.0875,3.0829,0.0041,4919.6987,50.7142,-0.2367,0.058,0.0763,0.022,-0.0351,0.05329007183338446,0.1815,0.056658569661550674,-0.2166,0.08137024019188746
2141928,RC,1.1894,0.0463,10.8773,0.1924,2.4431,0.0037,4665.6997,42.6284,0.0916,0.058,0.0063,0.022,0.0318,0.03027844990533208,0.2906,0.03415779797777697,-0.25880000000000003,0.04774056178584922
2141932,RGB,1.1904,0.0463,13.0169,0.2267,2.2812,0.0038,4373.423,39.7885,0.2024,0.058,0.0148,0.022,0.0501,0.027856173912905513,0.2675,0.030904674360845825,-0.2174,0.04351892660750774
2142095,RC,1.1836,0.0458,11.6486,0.2054,2.3814,0.0039,4909.646,48.0429,-0.3919,0.058,0.0708,0.022,-0.0012,0.05117058034001121,0.2135,0.05448982058359659,-0.2147,0.07819817912448615
2155148,RC,1.1327,0.0464,10.6658,0.1977,2.4389,0.0045,4928.1357,55.8629,-0.3596,0.058,0.1036,0.022,-0.0242,0.07115435727753039,0.1965,0.07211090684197359,-0.2207,0.10598785629418189
2155220,RC,1.1319,0.0465,10.4792,0.1944,2.4539,0.0042,4834.3047,49.9071,-0.1438,0.058,0.0344,0.022,-0.1163,0.04753716635137136,0.1807,0.05123669696666545,-0.297,0.07311408925059089
2155467,RC,1.2806,0.0531,12.8843,0.2402,2.3281,0.0041,4447.824,43.4131,0.3423,0.058,0.0237,0.022,0.0904,0.029370096408172116,0.1961,0.032802329804055654,-0.1057,0.04605234443937813
2155869,RGB,1.4008,0.0539,7.1882,0.1245,2.8729,0.0039,4723.2305,45.5701,0.125,0.058,0.0163,0.022,-0.0272,0.0363341398863985,0.365,0.04039295157689498,-0.3922,0.05682742780279692
2156155,RGB,1.6501,0.0686,6.9981,0.1304,2.9673,0.0049,4948.525,62.8603,-0.1931,0.058,0.047,0.022,-0.1721,0.07811840075575677,0.1998,0.07888824771058013,-0.3719,0.11615276635451445
2157650,RGB,1.2974,0.0498,5.6209,0.0972,3.0533,0.0041,4817.5107,49.2743,0.1056,0.058,0.0144,0.022,-0.0425,0.04238982986746491,0.2636,0.04635701154126874,-0.3061,0.06570807512733458
2157964,RC,1.1271,0.0465,11.7186,0.2179,2.355,0.004,4660.4287,42.7223,-0.0188,0.058,0.0503,0.022,0.0131,0.032700725897758645,0.2259,0.03659764069047532,-0.2128,0.051333097078115245
2159864,RGB,1.5566,0.0597,8.252,0.1427,2.7989,0.0045,4858.2085,58.7461,-0.1731,0.058,0.0315,0.022,-0.1813,0.0699432192813171,0.2154,0.0712976259377408,-0.3967,0.10449223553144377
2160161,RC,1.7904,0.0736,11.4595,0.2128,2.5754,0.004,4777.624,44.0384,0.1307,0.058,-0.0071,0.022,-0.0548,0.031186803402492042,0.2748,0.035513266151498274,-0.3296,0.0494296936726955
2160572,RC,1.2074,0.0497,11.2796,0.2095,2.418,0.004,4749.304,44.5253,-0.1166,0.058,0.0376,0.022,-0.0045,0.03724249338355846,0.2018,0.041206232481127765,-0.2063,0.05809666104945965
2160901,RGB,1.4813,0.0571,9.2917,0.1611,2.6742,0.0038,4642.874,42.0087,0.176,0.058,0.0092,0.022,-0.0564,0.028461742911012156,0.3521,0.032531236169311396,-0.40850000000000003,0.04520486697796132
2161409,RGB,1.4319,0.0597,6.998,0.1306,2.9058,0.0046,4817.279,54.9556,0.0328,0.058,0.0187,0.022,-0.0579,0.05298728733433114,0.284,0.05638747602680642,-0.3419,0.08094645754413075
2161831,RGB,1.0612,0.0407,4.9503,0.0855,3.0763,0.004,4902.4653,49.5744,-0.3311,0.058,0.1223,0.022,0.055,0.055106778827704386,0.0442,0.05801403783527199,0.010799999999999997,0.08370826482577667
2162486,RC,1.4017,0.0575,11.3855,0.2111,2.4747,0.0041,4889.999,47.3402,-0.2502,0.058,0.0377,0.022,-0.0761,0.045417674857998115,0.1995,0.04933904152345562,-0.2756,0.0701495038890116
2163434,RC,1.5735,0.0649,11.4398,0.2127,2.5208,0.0041,4649.7676,45.1972,0.2482,0.058,-0.005,0.022,-0.0122,0.031792372400598685,0.156,0.03578435978624253,-0.1682,0.05006454884710911
2163597,RC,1.0908,0.0449,10.5786,0.1965,2.4297,0.004,4725.8447,44.0002,0.0273,0.058,0.0575,0.022,0.0138,0.033306294895865285,0.1708,0.037682015229452366,-0.157,0.0525987523399031
2164262,RGB,1.2712,0.049,8.4714,0.1469,2.6881,0.0041,4641.6567,47.1268,0.0746,0.058,0.0015,0.022,-0.0172,0.03966476937598502,0.2091,0.043374981559081864,-0.2263,0.061482500338656376
2164327,RC,1.6798,0.0651,11.2102,0.198,2.5668,0.0038,4806.741,44.7448,0.0485,0.058,-0.0357,0.022,-0.0561,0.033911863893971925,0.2211,0.03822420249894089,-0.2772,0.053444206202413316
2164379,RGB,1.1839,0.0457,5.7967,0.1005,2.9868,0.0044,4632.3447,53.013,0.3555,0.058,0.0366,0.022,0.0423,0.04269261436651823,0.2686,0.04608591790652448,-0.2263,0.06571695259243057
2165198,RGB,1.5267,0.0587,7.6486,0.1324,2.8564,0.004,4785.2637,47.9646,0.1009,0.058,-0.0051,0.022,-0.1387,0.038756415878825064,0.351,0.0431038879243376,-0.48969999999999997,0.06062986312848222
2165894,RGB,1.274,0.0534,8.7509,0.1637,2.6609,0.0041,4605.559,41.6407,0.0834,0.058,0.0376,0.022,0.0166,0.029672880907225436,0.2626,0.03334451707354418,-0.246,0.04668491506591969
2166223,RGB,1.3734,0.0528,8.2783,0.1433,2.7417,0.0043,4751.633,53.6283,0.0599,0.058,0.0079,0.022,-0.0596,0.050262226842851254,0.3316,0.053676539679363804,-0.3912,0.0769269467792514
2166766,RC,1.7985,0.0738,11.5683,0.2145,2.5691,0.0041,4881.947,46.7516,-0.1025,0.058,0.02,0.022,-0.1336,0.03996755387503834,0.2225,0.04418826246331464,-0.35609999999999997,0.06232218693393477
2167774,RGB,1.4372,0.0561,9.038,0.1591,2.6852,0.0039,4703.0527,43.5074,0.0063,0.058,0.0236,0.022,-0.0592,0.033003510396811965,0.3316,0.03686873432521958,-0.39080000000000004,0.05175601968221241
2284278,RGB,1.5116,0.0595,26.2449,0.462,1.7587,0.0037,4128.54,35.7551,0.1731,0.058,0.0387,0.022,0.0322,0.02361719092615902,0.247,0.026024988935449113,-0.2148,0.036760397819870186
2284330,RC,1.2149,0.047,11.8655,0.2093,2.3767,0.0038,4879.118,47.1618,-0.2564,0.058,0.0454,0.022,-0.1519,0.044812105859891475,0.193,0.04879685425396709,-0.3449,0.06930265263026261
2285776,RC,1.2223,0.0503,11.2535,0.209,2.4254,0.0044,4762.533,53.2844,-0.0898,0.058,0.0409,0.022,0.0239,0.054803994328651066,0.1602,0.057742944200527724,-0.1363,0.08328433682548915
2285827,RGB,1.1822,0.0455,4.9045,0.0849,3.1313,0.0038,4734.226,43.6967,0.2213,0.058,0.0249,0.022,0.0561,0.0305812344043854,0.3007,0.03497107888200975,-0.24460000000000004,0.04858467095791441
2297825,RC,1.1013,0.0405,11.2059,0.1873,2.3838,0.004,4487.5312,49.1777,0.3172,0.058,0.0356,0.022,0.1048,0.037848062381665104,0.2204,0.041206232481127765,-0.11560000000000001,0.05852703901367112
2298436,RC,1.1476,0.0475,12.5185,0.2333,2.3055,0.0041,4474.115,42.816,0.2842,0.058,0.0332,0.022,0.0852,0.029067311909118793,0.2577,0.032531236169311396,-0.1725,0.04562941962499133
2299465,RGB,1.0907,0.0455,6.2146,0.116,2.8907,0.0049,4754.0547,58.6177,-0.1027,0.058,0.0609,0.022,-0.0419,0.06449309829835732,0.1668,0.0664179405123441,-0.2087,0.09685505560251781
2299926,RC,1.5545,0.0638,11.2649,0.2089,2.5289,0.0041,4873.523,46.407,-0.1367,0.058,0.0219,0.022,-0.0906,0.04057312287314499,0.2001,0.04500154336754743,-0.2907,0.06337717937422264
2300329,RGB,1.2299,0.0478,16.3628,0.2851,2.0906,0.0047,4340.4424,55.1359,0.0416,0.058,0.0279,0.022,0.0138,0.057831839319184265,0.2055,0.059369506008993295,-0.19169999999999998,0.08671030415402205
2300503,RGB,1.2482,0.0479,17.7321,0.3052,2.0249,0.0038,4396.145,40.1702,-0.2257,0.058,0.069,0.022,0.0479,0.033911863893971925,0.2275,0.03686873432521958,-0.1796,0.05240040839187724
2300853,RC,1.1549,0.0476,10.7913,0.2006,2.4372,0.0042,4676.2026,47.8901,0.109,0.058,0.0223,0.022,-0.017,0.039059200377878384,0.1751,0.0431038879243376,-0.1921,0.06084414699047236
2302010,RC,1.2564,0.0516,11.4122,0.2118,2.4252,0.0045,4828.9688,56.1502,-0.1845,0.058,0.0371,0.022,-0.0188,0.0611624688087708,0.143,0.06370700416490148,-0.1618,0.09239278321812298
2303101,RGB,1.0913,0.042,4.6745,0.081,3.1383,0.0039,4712.4785,45.1766,0.1749,0.058,0.0427,0.022,-0.0048,0.033003510396811965,0.1974,0.037139827959963845,-0.2022,0.05196576858996086
2303200,RGB,1.121,0.0433,8.4125,0.1459,2.6396,0.0043,4621.8887,52.0918,-0.0944,0.058,0.0259,0.022,-0.0267,0.05238171833622449,0.1025,0.0550320078530851,-0.12919999999999998,0.0794833758132863
2303414,RGB,1.3389,0.0515,8.384,0.1451,2.7196,0.004,4764.078,47.8744,-0.0449,0.058,0.0054,0.022,-0.0605,0.04208704536841159,0.2255,0.04608591790652448,-0.28600000000000003,0.06528475509436307
2303756,RC,0.9247,0.038,10.4252,0.1936,2.3706,0.0041,4753.907,45.1999,-0.1827,0.058,0.0561,0.022,0.008,0.055409563326757706,0.0912,0.05801403783527199,-0.0832,0.08392769922174337
2304104,RC,1.4624,0.057,12.0289,0.2131,2.4454,0.0039,4573.906,44.6166,0.2937,0.058,0.0085,0.022,0.0449,0.03148958790154536,0.35,0.03524217251675401,-0.3051,0.04943187126040727
