KIC,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
4142086,1.4752,0.0619,15.2275,0.2851,2.2366,0.0044,4531.859,46.2742,-0.0722,0.058,0.0313,0.022,-0.1149,0.04057312287314499,0.1971,0.04391716882857038,-0.312,0.06254537552311157
4157282,1.714,0.0656,20.1506,0.3464,2.0524,0.0038,4475.5894,40.5473,-0.074,0.058,0.0059,0.022,-0.1304,0.031186803402492042,0.1916,0.03469998524726549,-0.32199999999999995,0.04879953006332461
4157786,1.287,0.0497,9.4916,0.1646,2.5947,0.0042,4612.764,48.7392,0.0476,0.058,0.0448,0.022,0.0026,0.04208704536841159,0.2209,0.04554373063703595,-0.21830000000000002,0.06486989073757775
4160892,0.9705,0.038,19.4339,0.3414,1.8294,0.0037,4237.01,37.1533,0.1057,0.058,0.0282,0.022,0.0234,0.025433897920478944,0.1272,0.02819373801340321,-0.1038,0.039716507484046856
4164464,1.175,0.0452,4.7004,0.0814,3.1656,0.0047,4720.079,59.5119,0.1928,0.058,0.0286,0.022,0.005,0.058134623818237585,0.396,0.060996067817458866,-0.391,0.08815246580150297
4168757,0.9424,0.0395,12.9414,0.2422,2.1814,0.0046,4579.8604,51.8027,-0.0058,0.058,0.0505,0.022,-0.0279,0.049959442343797934,0.1384,0.05286325877513102,-0.1663,0.07609207320148541
4168909,1.2298,0.0468,5.4335,0.0931,3.0595,0.0038,4700.132,42.6515,0.2518,0.058,0.0143,0.022,0.0177,0.02725060491479887,0.3641,0.03144686163033435,-0.3464,0.043515365106221476
4172283,1.3522,0.0523,8.8685,0.154,2.6751,0.004,4527.5054,44.8994,0.3079,0.058,0.0182,0.022,0.0752,0.03148958790154536,0.2732,0.03497107888200975,-0.198,0.049222564710987765
4174495,1.4433,0.0603,9.6047,0.1795,2.6342,0.0044,4702.979,48.7176,0.0809,0.058,0.0039,0.022,-0.0906,0.03996755387503834,0.2841,0.04391716882857038,-0.37470000000000003,0.062113772981664685
4176078,1.2153,0.0508,9.698,0.1812,2.5507,0.0044,4712.312,48.8598,-0.2353,0.058,0.0751,0.022,-0.0373,0.04935387334569128,0.1907,0.0523210715056425,-0.228,0.07524437960461652
4176382,1.2293,0.0517,11.8166,0.2215,2.3816,0.0041,4458.312,39.5363,0.1071,0.058,0.0333,0.022,0.0303,0.02725060491479887,0.262,0.03063358072610156,-0.23170000000000002,0.04288247044787546
4242705,1.1096,0.0425,17.1637,0.2953,2.0011,0.0038,4428.577,40.9338,-0.3286,0.058,0.1067,0.022,-0.0446,0.03693970888450514,0.1024,0.03985076430740646,-0.14700000000000002,0.0568424153139607
4242873,1.1519,0.048,5.7186,0.1067,2.9866,0.0042,4823.028,45.4786,-0.101,0.058,0.0416,0.022,0.0165,0.03845363137977174,0.236,0.04256170065484907,-0.21949999999999997,0.05999786218107153
4244274,1.3,0.0499,8.7199,0.1507,2.6727,0.004,4868.447,47.2961,-0.327,0.058,0.0634,0.022,-0.0115,0.04723438185231804,0.1627,0.050694509697176926,-0.17420000000000002,0.07248400239506408
4246729,1.2019,0.046,9.8168,0.1687,2.5353,0.0038,4501.3726,41.5981,0.1934,0.058,0.0323,0.022,0.0713,0.028764527410065473,0.2794,0.03226014253456713,-0.20809999999999998,0.04520653529885589
4249357,1.1794,0.0455,9.1541,0.1587,2.5882,0.0038,4637.4023,42.4143,-0.0474,0.058,0.0362,0.022,-0.0011,0.033003510396811965,0.2207,0.03686873432521958,-0.2218,0.05175601968221241
4252080,1.3722,0.0542,25.3186,0.4466,1.7477,0.0037,4037.1562,35.1874,0.2241,0.058,0.0234,0.022,0.101,0.022406052929945738,0.135,0.024398427126983546,-0.034,0.034651326315131306
4252461,1.2575,0.0484,9.7541,0.169,2.5607,0.0042,4697.365,51.4062,-0.0718,0.058,0.0516,0.022,-0.0204,0.05056501134190457,0.2359,0.053676539679363804,-0.2563,0.07714504597499333
4253429,1.1811,0.0456,7.3296,0.1272,2.7819,0.0041,4589.094,48.0622,0.2595,0.058,0.006,0.022,0.0023,0.03693970888450514,0.2426,0.04039295157689498,-0.2403,0.057256925578845465
4255499,1.3047,0.0511,21.2052,0.3722,1.8839,0.0039,4277.554,41.0532,-0.0846,0.058,0.0756,0.022,-0.0123,0.03482021739113189,0.0996,0.0374109215947081,-0.1119,0.0534641430440135
4261170,1.2381,0.0478,9.7632,0.1693,2.5531,0.004,4624.8413,44.9264,-0.0822,0.058,0.0497,0.022,0.0055,0.03815084688071842,0.2437,0.04174841975061629,-0.2382,0.05915804977957467
4261269,1.5353,0.0589,7.3265,0.1267,2.8962,0.0044,4826.129,54.9735,-0.0016,0.058,0.0216,0.022,-0.1017,0.05359285633243778,0.2241,0.056929663296294945,-0.3258,0.08179403633694754
4262061,1.5952,0.0614,9.6134,0.1666,2.6769,0.0043,4684.4883,51.562,0.1704,0.058,-0.0107,0.022,-0.0961,0.043298183364624876,0.3293,0.046899198810757256,-0.4254,0.06677090207358642
4262239,1.3298,0.0513,9.252,0.1604,2.6311,0.0043,4645.3555,51.6785,0.0536,0.058,0.0069,0.022,-0.0042,0.04723438185231804,0.2383,0.050694509697176926,-0.24250000000000002,0.07248400239506408
4262252,1.2475,0.0477,5.3013,0.0915,3.0871,0.0046,4959.9805,61.8591,-0.2299,0.058,0.0836,0.022,-0.0278,0.08054067674818333,0.1435,0.08078590315378996,-0.17129999999999998,0.11934755822936412
4262505,1.4051,0.0539,7.3059,0.1263,2.8601,0.0039,4881.2715,47.0605,-0.2041,0.058,0.0512,0.022,-0.0911,0.043298183364624876,0.1885,0.04717029244550152,-0.2796,0.06697816922954312
4262667,0.9228,0.0361,13.1651,0.2322,2.1566,0.0042,4552.255,49.6202,0.0095,0.058,0.0409,0.022,-0.0126,0.04572045935705144,0.1184,0.04879685425396709,-0.131,0.0699533917294407
4268284,1.1005,0.0462,10.3682,0.1942,2.4484,0.0046,4493.078,51.4202,0.0286,0.058,0.0349,0.022,-0.0259,0.04844551984853133,0.1126,0.05123669696666545,-0.1385,0.07376760281649342
4269096,1.2318,0.048,19.7815,0.3462,1.9205,0.0037,4307.132,38.7167,-0.1272,0.058,0.0604,0.022,0.0174,0.03027844990533208,0.1585,0.03334451707354418,-0.1411,0.04711268661299837
4270704,1.1647,0.0491,15.2091,0.2854,2.1318,0.0043,4386.376,44.1431,0.0646,0.058,0.0342,0.022,0.0406,0.03572857088829185,0.1901,0.038766389768429416,-0.1495,0.05514835784390845
4271039,1.0788,0.0415,8.8465,0.1532,2.5791,0.0039,4722.3945,45.0269,-0.3278,0.058,0.1028,0.022,0.0228,0.042995398865571556,0.1319,0.046628105176013,-0.10909999999999999,0.06634741750182198
4277451,1.4541,0.0561,9.3341,0.1619,2.6622,0.0041,4626.5845,47.8941,0.1699,0.058,-0.0104,0.022,-0.0321,0.037848062381665104,0.3345,0.04147732611587203,-0.36660000000000004,0.05873474246222938
4278017,1.7664,0.0765,24.4691,0.4873,1.8912,0.0037,4374.875,39.0049,0.037,0.058,-0.0092,0.022,-0.0898,0.027856173912905513,0.2629,0.030904674360845825,-0.3527,0.04351892660750774
4279700,1.4207,0.0548,12.5195,0.2172,2.3943,0.0038,4607.489,41.9823,-0.006,0.058,-0.0012,0.022,-0.0674,0.03148958790154536,0.2609,0.03524217251675401,-0.32830000000000004,0.04943187126040727
4280299,1.5134,0.0629,5.6793,0.1058,3.1111,0.0043,4969.9053,48.2838,-0.1248,0.058,0.037,0.022,-0.0915,0.042995398865571556,0.2462,0.04744138608024579,-0.3377,0.06697087875684857
4280424,1.5555,0.0598,6.5856,0.114,2.9945,0.0041,4767.5527,48.9238,0.3136,0.058,0.0364,0.022,-0.0782,0.03512300189018521,0.6197,0.039579670672662194,-0.6979000000000001,0.05534542252109275
4282310,1.0994,0.0457,4.8804,0.0909,3.104,0.005,5025.2397,65.7791,-0.4132,0.058,0.1256,0.022,-0.0129,0.10294672967812908,0.1353,0.09894917668165548,-0.1482,0.14938435564892188
