KIC,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
893214,1.4404,0.0602,11.0014,0.2055,2.5146,0.0042,4718.9233,44.7811,-0.2617,0.058,0.0815,0.022,-0.0626,0.0408759073721983,0.2483,0.044459356098058914,-0.3109,0.06317601724069953
1027337,1.2676,0.0489,7.6702,0.133,2.7732,0.0038,4621.996,41.3674,0.2081,0.058,0.0354,0.022,0.062,0.02725060491479887,0.2898,0.031175767995590086,-0.2278,0.04330373087012109
1163114,1.6769,0.0654,20.0342,0.3509,2.0481,0.0037,4265.4097,37.0993,0.2026,0.058,0.0363,0.022,0.0703,0.024222759924265664,0.2256,0.026838269839681902,-0.1553,0.037815300374193256
1293521,1.2474,0.0502,30.5334,0.5503,1.5384,0.0037,3918.499,32.9835,0.3592,0.058,0.0254,0.022,0.0676,0.02058934593562581,0.1663,0.02195858441428519,-0.09870000000000001,0.03148992153157597
1294122,1.3468,0.0518,7.7783,0.1346,2.7873,0.0039,4780.2866,45.1008,-0.0811,0.058,0.0211,0.022,-0.0923,0.03663692438545182,0.278,0.04093513884638351,-0.3703,0.05745969536385086
1294385,1.4216,0.0546,6.7136,0.1161,2.9387,0.0039,4807.2637,44.749,0.0497,0.058,-0.0052,0.022,-0.1403,0.033911863893971925,0.2843,0.03822420249894089,-0.4246,0.053444206202413316
1296507,1.5395,0.059,6.4046,0.1107,3.0142,0.0045,4897.0596,58.4962,-0.0053,0.058,0.0066,0.022,-0.0161,0.06146525330782412,0.2148,0.06424919143439001,-0.2309,0.09302088068083672
1429505,1.1279,0.0434,8.3276,0.1443,2.651,0.004,4683.642,46.1562,-0.117,0.058,0.056,0.022,0.0248,0.045114890358944795,0.1583,0.04852576061922283,-0.1335,0.06931222050832281
1430985,1.2387,0.0515,5.8041,0.1081,3.0053,0.0045,5009.838,54.5953,-0.4328,0.058,0.1095,0.022,0.0016,0.07115435727753039,0.18,0.07211090684197359,-0.1784,0.10598785629418189
1431059,1.1429,0.0439,4.7597,0.0824,3.1426,0.0044,4786.8867,56.249,0.0857,0.058,0.0512,0.022,-0.0521,0.055106778827704386,0.2827,0.058556225104760516,-0.3348,0.08411853423521816
1433593,1.6795,0.0646,9.1136,0.1577,2.7456,0.0039,4769.933,44.2558,0.0936,0.058,-0.0126,0.022,-0.1067,0.032095156899652005,0.2757,0.03632654705573106,-0.3824,0.05069755022955855
1433803,1.2145,0.0467,5.2466,0.0909,3.0845,0.0038,4720.9194,42.7632,0.2173,0.058,0.0122,0.022,0.0094,0.028461742911012156,0.341,0.032531236169311396,-0.3316,0.04520486697796132
1572175,1.5948,0.0614,9.9047,0.1715,2.6508,0.0039,4726.4106,44.0491,-0.0626,0.058,0.0188,0.022,-0.069,0.03512300189018521,0.2442,0.03930857703791794,-0.31320000000000003,0.055135548713531185
1572317,1.5292,0.0634,5.0212,0.0934,3.2226,0.0044,5143.865,51.9762,-0.1701,0.058,0.0435,0.022,-0.0226,0.050262226842851254,0.1538,0.05448982058359659,-0.1764,0.07754647951307983
1576043,1.427,0.0571,30.4365,0.5466,1.6007,0.0037,4090.4976,35.9527,0.0062,0.058,0.0383,0.022,0.0335,0.026039466918585587,0.152,0.02819373801340321,-0.1185,0.04014724086165219
1578131,1.1109,0.0465,9.4761,0.1773,2.5317,0.0041,4608.9697,41.903,0.0519,0.058,0.0355,0.022,-0.0366,0.03027844990533208,0.2805,0.03415779797777697,-0.31710000000000005,0.04774056178584922
1717618,1.702,0.0652,6.8663,0.1187,2.9973,0.0045,4882.8647,58.1663,0.0247,0.058,0.006,0.022,-0.1053,0.05964854631350419,0.3138,0.06262262962592444,-0.41910000000000003,0.09047686247733061
1719297,1.4725,0.0577,26.2766,0.4616,1.7457,0.0038,4232.5425,37.7942,-0.1066,0.058,0.0413,0.022,0.0086,0.029370096408172116,0.1797,0.03198904889982287,-0.1711,0.045426940366598875
1719422,1.2881,0.0493,5.6235,0.0971,3.0497,0.0041,4945.6543,51.2474,-0.2825,0.058,0.054,0.022,-0.0925,0.056015132324864346,0.2213,0.05909841237424903,-0.31379999999999997,0.08518486722525309
1720241,1.2661,0.0519,4.3989,0.0806,3.2556,0.0048,5022.3013,61.4079,-0.1699,0.058,0.05,0.022,-0.0745,0.07569612476333021,0.1432,0.0769905922673703,-0.2177,0.11295913642037762
1723047,1.4598,0.0551,5.8303,0.0995,3.0727,0.0042,4985.3037,54.8392,-0.151,0.058,0.0257,0.022,-0.0525,0.058134623818237585,0.1858,0.06126716145220312,-0.23829999999999998,0.08835713276180124
1723752,1.2887,0.0493,4.6545,0.0803,3.2142,0.0041,4981.0283,51.0343,-0.1606,0.058,0.0458,0.022,-0.0921,0.049656657844744614,0.2441,0.05340544604461954,-0.3362,0.07628580356872365
1723843,1.4641,0.056,6.6311,0.1145,2.9622,0.004,4947.5244,48.3933,-0.2529,0.058,0.0683,0.022,0.014,0.04693159735326472,0.3022,0.05096560333192119,-0.2882,0.07247400359635912
1864183,1.2393,0.0479,8.8824,0.1541,2.6359,0.0038,4596.487,41.3354,0.1222,0.058,0.0344,0.022,-0.0122,0.028461742911012156,0.2833,0.03226014253456713,-0.2955,0.04499395591954648
1864855,1.3743,0.052,6.0575,0.1035,3.0133,0.0039,4899.49,46.9135,-0.0643,0.058,0.0276,0.022,-0.0828,0.039059200377878384,0.2716,0.043374981559081864,-0.3544,0.06105290235604557
1865262,1.1431,0.0439,8.5368,0.1477,2.6353,0.0047,4771.19,60.5597,-0.3303,0.058,0.1111,0.022,0.0489,0.08114624574628998,0.0874,0.0805148095190457,-0.038500000000000006,0.11959563962348678
1865595,1.2499,0.0486,18.6553,0.3261,1.9798,0.004,4364.1465,43.9349,-0.1648,0.058,0.0536,0.022,0.0019,0.04027033837409166,0.1222,0.04283279428959334,-0.1203,0.061502859205687155
1865747,1.4104,0.0542,8.6866,0.1504,2.7114,0.0038,4750.9966,43.911,-0.0194,0.058,0.0141,0.022,-0.0703,0.03451743289207857,0.248,0.038766389768429416,-0.3183,0.05428980725098077
1867706,1.6397,0.063,7.2467,0.1253,2.9343,0.0039,4816.668,44.7426,0.1233,0.058,-0.0076,0.022,-0.084,0.032095156899652005,0.313,0.03659764069047532,-0.397,0.05090831550428779
1868303,1.1969,0.05,9.9502,0.1859,2.5215,0.0042,4719.3457,45.0629,-0.323,0.058,0.0951,0.022,-0.0102,0.04269261436651823,0.1822,0.04635701154126874,-0.19240000000000002,0.06592395350754092
1870196,1.2325,0.0481,4.6364,0.0817,3.1982,0.0041,4860.831,49.3023,-0.008,0.058,0.045,0.022,-0.0076,0.043298183364624876,0.2007,0.04744138608024579,-0.20829999999999999,0.06718589082895132
1871314,1.4041,0.0543,9.0962,0.158,2.6695,0.0042,4523.7666,48.6016,0.2711,0.058,0.0261,0.022,0.0936,0.03845363137977174,0.2846,0.04174841975061629,-0.191,0.05937390363057129
1871927,1.2039,0.0465,7.9446,0.1378,2.7203,0.0041,4622.954,47.2679,0.1417,0.058,0.0289,0.022,0.0004,0.03693970888450514,0.3313,0.040664045211639244,-0.33089999999999997,0.05746497782150596
1872469,1.2536,0.0484,8.7181,0.1512,2.6571,0.0041,4631.4434,46.892,0.0894,0.058,0.0356,0.022,-0.0136,0.03815084688071842,0.2765,0.04174841975061629,-0.2901,0.05915804977957467
1873198,1.1838,0.0494,10.4752,0.1956,2.4713,0.0044,4774.1855,50.0983,-0.4442,0.058,0.0693,0.022,-0.0229,0.05934576181445087,0.166,0.061538255086947394,-0.1889,0.08944069379843939
1996078,1.1953,0.0459,6.9953,0.1211,2.8277,0.004,4774.9033,47.5374,-0.1284,0.058,0.0438,0.022,-0.0094,0.043298183364624876,0.226,0.04717029244550152,-0.2354,0.06697816922954312
2010137,1.306,0.0524,26.7192,0.4804,1.6774,0.0037,4031.8289,34.344,0.3076,0.058,0.0278,0.022,0.0644,0.021497699432785778,0.2587,0.0233140525880065,-0.19429999999999997,0.03317370875091099
2011891,1.2333,0.0475,6.1107,0.1059,2.9587,0.0038,4661.336,41.8065,0.2401,0.058,0.0141,0.022,0.0511,0.02725060491479887,0.2678,0.031175767995590086,-0.21669999999999998,0.04330373087012109
2014684,1.1794,0.0513,25.446,0.5082,1.6751,0.0038,4321.727,39.7204,-0.3611,0.058,0.095,0.022,-0.0378,0.03603135538734518,0.1583,0.038766389768429416,-0.1961,0.055365055003376434
2016978,1.174,0.0452,7.2921,0.1263,2.7838,0.0041,4695.9287,48.8575,0.0012,0.058,0.0447,0.022,-0.0361,0.04269261436651823,0.2771,0.04635701154126874,-0.31320000000000003,0.06592395350754092
2017541,1.3897,0.0546,22.5678,0.3967,1.8564,0.0037,4200.635,36.9173,0.0611,0.058,0.0392,0.022,0.0366,0.026039466918585587,0.1857,0.028464831648147473,-0.1491,0.040354627009637996
2018283,1.2996,0.05,5.6782,0.0983,3.0452,0.0042,4762.337,51.1839,0.1735,0.058,0.0169,0.022,-0.038,0.04208704536841159,0.2531,0.04608591790652448,-0.29109999999999997,0.06528475509436307
2018392,1.3679,0.0527,11.7929,0.2044,2.4305,0.0039,4669.729,43.5609,-0.1777,0.058,0.0589,0.022,-0.1061,0.03724249338355846,0.312,0.04093513884638351,-0.4181,0.057888205908079235
2018537,1.3537,0.052,5.0101,0.0867,3.1716,0.0039,4812.8086,44.6061,0.2395,0.058,0.0092,0.022,-0.056,0.031186803402492042,0.3408,0.03578435978624253,-0.3968,0.04964093147464203
2019258,1.542,0.0649,17.6882,0.3318,2.1222,0.0041,4402.593,39.5238,-0.0117,0.058,0.0166,0.022,-0.0616,0.029067311909118793,0.235,0.03226014253456713,-0.2966,0.045420138210589475
2140446,1.3041,0.0504,8.8659,0.1539,2.6597,0.0038,4551.178,40.2924,0.2335,0.058,0.0331,0.022,0.0643,0.026039466918585587,0.2685,0.029549206187124515,-0.20420000000000002,0.04119157250454199
2141255,1.1274,0.0432,5.064,0.0875,3.0829,0.0041,4919.6987,50.7142,-0.2367,0.058,0.0763,0.022,-0.0351,0.05329007183338446,0.1815,0.056658569661550674,-0.2166,0.08137024019188746
2141932,1.1904,0.0463,13.0169,0.2267,2.2812,0.0038,4373.423,39.7885,0.2024,0.058,0.0148,0.022,0.0501,0.027856173912905513,0.2675,0.030904674360845825,-0.2174,0.04351892660750774
2155869,1.4008,0.0539,7.1882,0.1245,2.8729,0.0039,4723.2305,45.5701,0.125,0.058,0.0163,0.022,-0.0272,0.0363341398863985,0.365,0.04039295157689498,-0.3922,0.05682742780279692
2156155,1.6501,0.0686,6.9981,0.1304,2.9673,0.0049,4948.525,62.8603,-0.1931,0.058,0.047,0.022,-0.1721,0.07811840075575677,0.1998,0.07888824771058013,-0.3719,0.11615276635451445
2157650,1.2974,0.0498,5.6209,0.0972,3.0533,0.0041,4817.5107,49.2743,0.1056,0.058,0.0144,0.022,-0.0425,0.04238982986746491,0.2636,0.04635701154126874,-0.3061,0.06570807512733458
2159864,1.5566,0.0597,8.252,0.1427,2.7989,0.0045,4858.2085,58.7461,-0.1731,0.058,0.0315,0.022,-0.1813,0.0699432192813171,0.2154,0.0712976259377408,-0.3967,0.10449223553144377
2160901,1.4813,0.0571,9.2917,0.1611,2.6742,0.0038,4642.874,42.0087,0.176,0.058,0.0092,0.022,-0.0564,0.028461742911012156,0.3521,0.032531236169311396,-0.40850000000000003,0.04520486697796132
2161409,1.4319,0.0597,6.998,0.1306,2.9058,0.0046,4817.279,54.9556,0.0328,0.058,0.0187,0.022,-0.0579,0.05298728733433114,0.284,0.05638747602680642,-0.3419,0.08094645754413075
2161831,1.0612,0.0407,4.9503,0.0855,3.0763,0.004,4902.4653,49.5744,-0.3311,0.058,0.1223,0.022,0.055,0.055106778827704386,0.0442,0.05801403783527199,0.010799999999999997,0.08370826482577667
2164262,1.2712,0.049,8.4714,0.1469,2.6881,0.0041,4641.6567,47.1268,0.0746,0.058,0.0015,0.022,-0.0172,0.03966476937598502,0.2091,0.043374981559081864,-0.2263,0.061482500338656376
2164379,1.1839,0.0457,5.7967,0.1005,2.9868,0.0044,4632.3447,53.013,0.3555,0.058,0.0366,0.022,0.0423,0.04269261436651823,0.2686,0.04608591790652448,-0.2263,0.06571695259243057
2165198,1.5267,0.0587,7.6486,0.1324,2.8564,0.004,4785.2637,47.9646,0.1009,0.058,-0.0051,0.022,-0.1387,0.038756415878825064,0.351,0.0431038879243376,-0.48969999999999997,0.06062986312848222
2165894,1.274,0.0534,8.7509,0.1637,2.6609,0.0041,4605.559,41.6407,0.0834,0.058,0.0376,0.022,0.0166,0.029672880907225436,0.2626,0.03334451707354418,-0.246,0.04668491506591969
2166223,1.3734,0.0528,8.2783,0.1433,2.7417,0.0043,4751.633,53.6283,0.0599,0.058,0.0079,0.022,-0.0596,0.050262226842851254,0.3316,0.053676539679363804,-0.3912,0.0769269467792514
2167774,1.4372,0.0561,9.038,0.1591,2.6852,0.0039,4703.0527,43.5074,0.0063,0.058,0.0236,0.022,-0.0592,0.033003510396811965,0.3316,0.03686873432521958,-0.39080000000000004,0.05175601968221241
2284278,1.5116,0.0595,26.2449,0.462,1.7587,0.0037,4128.54,35.7551,0.1731,0.058,0.0387,0.022,0.0322,0.02361719092615902,0.247,0.026024988935449113,-0.2148,0.036760397819870186
2285827,1.1822,0.0455,4.9045,0.0849,3.1313,0.0038,4734.226,43.6967,0.2213,0.058,0.0249,0.022,0.0561,0.0305812344043854,0.3007,0.03497107888200975,-0.24460000000000004,0.04858467095791441
2299465,1.0907,0.0455,6.2146,0.116,2.8907,0.0049,4754.0547,58.6177,-0.1027,0.058,0.0609,0.022,-0.0419,0.06449309829835732,0.1668,0.0664179405123441,-0.2087,0.09685505560251781
2300329,1.2299,0.0478,16.3628,0.2851,2.0906,0.0047,4340.4424,55.1359,0.0416,0.058,0.0279,0.022,0.0138,0.057831839319184265,0.2055,0.059369506008993295,-0.19169999999999998,0.08671030415402205
2300503,1.2482,0.0479,17.7321,0.3052,2.0249,0.0038,4396.145,40.1702,-0.2257,0.058,0.069,0.022,0.0479,0.033911863893971925,0.2275,0.03686873432521958,-0.1796,0.05240040839187724
2303101,1.0913,0.042,4.6745,0.081,3.1383,0.0039,4712.4785,45.1766,0.1749,0.058,0.0427,0.022,-0.0048,0.033003510396811965,0.1974,0.037139827959963845,-0.2022,0.05196576858996086
2303200,1.121,0.0433,8.4125,0.1459,2.6396,0.0043,4621.8887,52.0918,-0.0944,0.058,0.0259,0.022,-0.0267,0.05238171833622449,0.1025,0.0550320078530851,-0.12919999999999998,0.0794833758132863
2303414,1.3389,0.0515,8.384,0.1451,2.7196,0.004,4764.078,47.8744,-0.0449,0.058,0.0054,0.022,-0.0605,0.04208704536841159,0.2255,0.04608591790652448,-0.28600000000000003,0.06528475509436307
2305479,1.1731,0.0453,7.152,0.1241,2.8003,0.0041,4607.7334,48.0959,0.2174,0.058,0.0012,0.022,0.0001,0.03693970888450514,0.2517,0.040664045211639244,-0.2516,0.05746497782150596
2305987,1.1575,0.0446,8.6796,0.1505,2.6263,0.0046,4633.725,57.6487,0.0602,0.058,0.0309,0.022,-0.0376,0.05934576181445087,0.1887,0.061538255086947394,-0.2263,0.08944069379843939
2305992,1.2582,0.0484,6.5128,0.1127,2.912,0.004,4763.847,47.7646,0.0223,0.058,0.0367,0.022,0.0282,0.03996755387503834,0.3057,0.04418826246331464,-0.2775,0.06232218693393477
2306716,1.1512,0.0481,9.9322,0.1856,2.506,0.0042,4676.5664,43.2055,-0.0625,0.058,0.0227,0.022,-0.0978,0.034214648393025245,0.2486,0.03795310886419663,-0.3464,0.05344805290027291
2307683,1.41,0.0542,10.947,0.1894,2.5095,0.0039,4779.718,45.2846,-0.2517,0.058,0.0504,0.022,-0.0795,0.04208704536841159,0.182,0.04581482427178021,-0.2615,0.0650770888582097
2309524,1.2355,0.0498,33.6854,0.6072,1.4476,0.0037,3911.2073,33.6971,0.1514,0.058,0.043,0.022,0.053,0.02301162192805238,0.2114,0.02466952076172781,-0.1584,0.03529156404361493
2422073,1.1743,0.0455,12.3742,0.215,2.3201,0.0038,4500.8335,40.4658,0.0168,0.058,0.0434,0.022,0.0297,0.029672880907225436,0.2125,0.03307342343879992,-0.1828,0.04647530863668837
2422558,1.326,0.0554,6.4214,0.12,2.9471,0.0043,4703.495,45.5785,0.2438,0.058,0.0354,0.022,0.0554,0.03572857088829185,0.3776,0.03985076430740646,-0.3222,0.055981424226136424
2422635,1.3834,0.0531,6.5105,0.1126,2.9535,0.0039,4844.4453,45.7377,-0.0501,0.058,0.042,0.022,-0.0555,0.03724249338355846,0.2382,0.04174841975061629,-0.2937,0.05851511137584754
2423932,1.3184,0.0514,15.8771,0.2771,2.1491,0.0037,4251.1963,36.9262,0.2623,0.058,0.0232,0.022,0.053,0.02301162192805238,0.2054,0.025753895300704852,-0.1524,0.03612329053645147
2424039,1.6827,0.0701,6.5854,0.1228,3.0286,0.0045,4841.4463,52.5139,0.1361,0.058,-0.0059,0.022,-0.232,0.055409563326757706,0.2918,0.05882731873950477,-0.5238,0.08454233880784078
2424822,1.5645,0.0601,7.5024,0.1298,2.8838,0.0039,4815.002,45.1123,0.0161,0.058,0.0031,0.022,-0.1459,0.03482021739113189,0.2612,0.03930857703791794,-0.4071,0.05492267117477851
2424955,1.1988,0.0462,8.9195,0.1546,2.6179,0.0039,4678.2935,43.3484,-0.0948,0.058,0.0398,0.022,-0.058,0.03512300189018521,0.2255,0.03903748340317367,-0.28350000000000003,0.05492621098677441
2425044,1.5509,0.0649,11.0832,0.2072,2.5406,0.0043,4669.749,46.7002,0.0548,0.058,0.0116,0.022,-0.0686,0.03754527788261178,0.2633,0.04147732611587203,-0.3319,0.058519796930832306
2425348,1.4138,0.0592,12.362,0.2313,2.4034,0.0042,4594.021,42.7248,-0.0065,0.058,0.0399,0.022,-0.0769,0.033911863893971925,0.2844,0.037682015229452366,-0.36129999999999995,0.05302499481626621
2425375,1.3742,0.0576,10.6486,0.1992,2.5227,0.0043,4588.6533,45.1256,0.1426,0.058,0.007,0.022,-0.0726,0.033306294895865285,0.2957,0.037139827959963845,-0.3683,0.05217897740012402
2425631,1.5624,0.0604,15.97,0.2772,2.2196,0.0038,4563.9126,41.9763,-0.1505,0.058,0.0351,0.022,-0.1081,0.03451743289207857,0.2537,0.03795310886419663,-0.3618,0.0536626400803176
2435987,1.1804,0.0453,10.4566,0.18,2.4719,0.0044,4379.4907,51.6631,0.2818,0.058,0.0341,0.022,0.0703,0.044509321360838155,0.2143,0.046899198810757256,-0.144,0.06764202856716522
2436209,1.1778,0.0451,8.492,0.1461,2.6528,0.0045,4424.1284,54.6311,0.3242,0.058,0.012,0.022,0.0575,0.04783995085042469,0.1853,0.050423416062432655,-0.1278,0.07271482488345939
2436332,1.1369,0.0471,11.8833,0.2198,2.342,0.0044,4297.9683,46.4303,0.3569,0.058,0.0412,0.022,0.0834,0.03542578638923853,0.2436,0.03795310886419663,-0.1602,0.05431144286890309
2436540,1.139,0.0471,8.3273,0.1537,2.6553,0.0048,4421.1313,55.0015,0.3089,0.058,0.0074,0.022,0.0451,0.04905108884663797,0.2067,0.051507790601409705,-0.1616,0.07441059942080218
2436688,1.0864,0.0421,7.1043,0.1235,2.7728,0.0047,4470.654,56.4387,0.3155,0.058,0.024,0.022,0.08,0.05056501134190457,0.2272,0.053134352409875275,-0.1472,0.07673500562956427
2436814,1.046,0.0434,12.1831,0.2253,2.2827,0.0045,4299.03,47.4193,0.2909,0.058,0.0376,0.022,0.062,0.037848062381665104,0.2507,0.04039295157689498,-0.18869999999999998,0.05790707355430321
2436884,1.1677,0.0461,21.4017,0.3776,1.8262,0.0042,4021.495,43.8832,0.2942,0.058,0.0252,0.022,0.0673,0.03572857088829185,0.2126,0.037139827959963845,-0.1453,0.05391551863932495
2436900,1.1324,0.044,10.5737,0.1842,2.4438,0.0046,4362.904,53.4634,0.2567,0.058,0.0444,0.022,0.0804,0.04844551984853133,0.2355,0.050694509697176926,-0.1551,0.07335819829010229
2437191,1.1969,0.0494,5.5449,0.1019,3.0301,0.0049,4719.737,58.8701,0.0853,0.058,0.0313,0.022,0.0296,0.06055689981066416,0.2138,0.06316481689541296,-0.18419999999999997,0.09154464171270743
2437340,1.1717,0.047,21.9575,0.3949,1.8047,0.0042,4020.3525,43.4305,0.2976,0.058,0.0316,0.022,0.0672,0.03482021739113189,0.2094,0.03632654705573106,-0.1422,0.0526432694538801
2437507,1.2294,0.0474,14.5454,0.2511,2.1964,0.004,4242.6084,42.4906,0.3079,0.058,0.0332,0.022,0.0842,0.033306294895865285,0.2596,0.03578435978624253,-0.1754,0.051139615085578134
2437816,1.2093,0.0467,15.4767,0.2673,2.1333,0.0039,4209.3164,40.7251,0.3327,0.058,0.0416,0.022,0.0848,0.028461742911012156,0.2673,0.03063358072610156,-0.1825,0.04374241817651523
2442382,1.2977,0.0541,4.4612,0.0832,3.2541,0.0043,4863.6235,48.7823,0.1572,0.058,0.0274,0.022,-0.0216,0.04178426086935827,0.3348,0.04608591790652448,-0.3564,0.0650696932368454
2443573,1.516,0.0584,10.6716,0.1849,2.5638,0.0039,4702.237,43.6981,-0.0403,0.058,0.0135,0.022,-0.1364,0.033911863893971925,0.2953,0.03795310886419663,-0.4317,0.053234322895823215
2443691,1.1698,0.0491,9.751,0.1827,2.5293,0.0043,4496.713,44.6983,0.2441,0.058,0.0226,0.022,0.0287,0.03663692438545182,0.3249,0.03985076430740646,-0.2962,0.056625966334197406
2444348,1.7807,0.0688,14.2214,0.2469,2.3815,0.0038,4562.0684,41.0213,0.1035,0.058,0.0092,0.022,-0.0309,0.028461742911012156,0.2812,0.03226014253456713,-0.3121,0.04499395591954648
2445426,1.5281,0.0586,6.7091,0.116,2.9706,0.0039,4875.4233,45.9193,0.0059,0.058,0.0033,0.022,-0.1431,0.0363341398863985,0.2479,0.04093513884638351,-0.391,0.057246639470717633
2446327,1.1603,0.0448,8.6178,0.1496,2.6336,0.0044,4580.884,52.549,-0.0047,0.058,0.0385,0.022,0.0369,0.05147336483906454,0.1253,0.054218726948852325,-0.08839999999999999,0.07821154204936508
2447046,1.3968,0.0536,5.2415,0.0906,3.146,0.0045,4858.6343,57.5892,0.0067,0.058,0.0009,0.022,-0.107,0.05843740831729092,0.2512,0.061538255086947394,-0.35819999999999996,0.08878105695322701
2447476,1.4015,0.054,7.3393,0.1272,2.8551,0.0043,4655.856,51.7134,0.2351,0.058,0.0004,0.022,-0.0249,0.04238982986746491,0.3721,0.04608591790652448,-0.39699999999999996,0.06550051048984656
2449570,1.2425,0.0519,6.3548,0.1186,2.9279,0.0042,4769.9395,45.0922,0.061,0.058,0.0226,0.022,-0.0333,0.03451743289207857,0.2417,0.038766389768429416,-0.275,0.05428980725098077
2451509,1.7554,0.0673,8.5036,0.147,2.825,0.0039,4868.426,46.5419,-0.1023,0.058,0.0157,0.022,-0.164,0.039361984876931704,0.2179,0.04364607519382612,-0.3819,0.06147596978232975
2557115,1.3017,0.0549,17.7386,0.333,2.0435,0.0041,4347.832,38.7125,0.0057,0.058,0.0478,0.022,0.0483,0.02815895841195883,0.1957,0.031175767995590086,-0.1474,0.04394201727496888
2568654,1.1547,0.045,16.5076,0.2879,2.0544,0.0041,4291.641,44.1891,0.0804,0.058,0.0539,0.022,0.0165,0.0363341398863985,0.1127,0.03903748340317367,-0.0962,0.05578867100244887
2569078,1.2484,0.0485,13.5199,0.2354,2.2685,0.0042,4389.029,47.4766,0.1428,0.058,0.0315,0.022,0.0242,0.03996755387503834,0.1468,0.04283279428959334,-0.12260000000000001,0.061285021566053366
2569204,1.2713,0.0504,28.0942,0.4968,1.6208,0.0041,3925.9507,40.6584,0.281,0.058,0.0248,0.022,0.0616,0.031792372400598685,0.2034,0.03307342343879992,-0.14179999999999998,0.047994668331247686
2569360,1.1473,0.0442,13.7388,0.2371,2.2166,0.0041,4259.5474,45.7497,0.2699,0.058,0.0232,0.022,0.0816,0.0363341398863985,0.2285,0.038766389768429416,-0.1469,0.055582556751914085
2569618,1.1669,0.0453,8.5425,0.1486,2.6437,0.0046,4426.867,54.4616,0.3001,0.058,0.0361,0.022,0.0548,0.04814273534947801,0.259,0.050694509697176926,-0.2042,0.07313874867483573
2569935,1.0449,0.0419,25.9982,0.4644,1.6024,0.0038,4006.1475,34.443,0.3198,0.058,0.0347,0.022,0.0551,0.022103268430892418,0.2383,0.02358514622275076,-0.1832,0.033814437350273834
2570172,1.1559,0.0448,7.3924,0.1286,2.7651,0.0046,4454.226,55.328,0.3782,0.058,-0.0321,0.022,-0.0113,0.04753716635137136,0.2408,0.0501523224276884,-0.2521,0.0722909147086014
2572323,1.1487,0.0481,11.6881,0.2187,2.361,0.0044,4580.23,47.0729,-0.1299,0.058,0.0545,0.022,-0.0075,0.04208704536841159,0.1637,0.04527263700229169,-0.17120000000000002,0.06466316523237034
2573548,1.4553,0.0568,20.5841,0.3607,1.96,0.0039,4236.252,41.2276,0.1937,0.058,0.0316,0.022,0.0406,0.03027844990533208,0.1959,0.032802329804055654,-0.1553,0.04669728212283868
2578198,1.2851,0.0488,8.0432,0.1376,2.7379,0.0043,4778.1675,54.0871,-0.1531,0.058,0.0417,0.022,-0.0891,0.05722627032107763,0.2199,0.05991169327848182,-0.309,0.08667607766197591
2578581,1.2295,0.0505,4.412,0.0809,3.2402,0.0051,4935.9883,65.1944,-0.1897,0.058,0.0782,0.022,-0.0488,0.08629358223019643,0.2381,0.08566558857918669,-0.2869,0.12721400750414386
2579661,1.4409,0.0552,5.897,0.1019,3.0572,0.0039,4922.587,47.4391,-0.103,0.058,0.0425,0.022,-0.0992,0.0408759073721983,0.198,0.04527263700229169,-0.2972,0.06380026885808927
2580691,1.1076,0.0428,8.278,0.1437,2.6483,0.0044,4567.4854,52.0323,0.0922,0.058,0.0416,0.022,0.0055,0.04905108884663797,0.1678,0.052049977870898226,-0.1623,0.0748205538489889
2581533,1.3698,0.0528,9.2842,0.161,2.641,0.0044,4651.5234,54.721,0.096,0.058,0.0183,0.022,-0.0408,0.05147336483906454,0.2368,0.05448982058359659,-0.2776,0.07841654699977291
2583658,1.0803,0.0452,9.9855,0.1867,2.4733,0.0042,4640.0605,43.7929,-0.2121,0.058,0.0764,0.022,-0.0253,0.0408759073721983,0.1436,0.04418826246331464,-0.1689,0.06296889235257297
2584202,1.2954,0.0542,10.5554,0.1974,2.5044,0.0042,4647.6445,42.5935,-0.0179,0.058,0.0365,0.022,-0.0288,0.032397941398705325,0.3027,0.03632654705573106,-0.3315,0.05091021046292766
2584477,1.2061,0.0464,6.0386,0.1046,2.9593,0.0043,4733.683,52.8372,0.1552,0.058,0.0228,0.022,-0.0226,0.04602324385610476,0.3112,0.049610135158199876,-0.3338,0.07078956378969191
2584478,1.2754,0.0489,4.8838,0.0844,3.1679,0.0045,4843.019,57.2079,0.0758,0.058,0.0204,0.022,-0.1575,0.055712347825811026,0.306,0.05909841237424903,-0.4635,0.084966156155146
2692438,1.1405,0.0437,19.4288,0.3342,1.9018,0.0038,4441.809,41.4763,-0.4453,0.058,0.1241,0.022,-0.0157,0.04057312287314499,0.13,0.043374981559081864,-0.1457,0.06213239466960821
2695975,1.4253,0.0547,21.6577,0.373,1.9045,0.0037,4367.496,39.3123,-0.099,0.058,0.0698,0.022,-0.0301,0.0305812344043854,0.2581,0.03361561070828844,-0.2882,0.04753591052833457
2696628,1.2526,0.0483,20.491,0.3537,1.8965,0.0037,4250.506,37.6594,0.0227,0.058,0.0344,0.022,0.0241,0.02694782041574555,0.2179,0.029549206187124515,-0.1938,0.041832447670382
